"","comments"
"32","Liked and subscribed. The water sport is scuba diving"
"33","I forgot about the advertisement for what I came to this link!!
Water sport : Scuba Diving !"
"34","Could not believe my eyes what I just saw in this short video!!! It is beautiful and what a beautiful portrayal you guys have done! Andaman will be in my list now for deciding my Honeymoon place! Kudos team thrillophila!"
"35","Can't wai for scuba diving! #Scubadiving #andaman"
"36","Radhanagar beach Havelock island .
And last one from chidyatapu suicide point view .@ Thrillophilia"
"37","scuba diving egarly waiting to do thia sport"
"38","Worth place to visit , everyone should ho once...its a heavan on earth"
"39","Scuba diving<U+0001F601>"
"40","What a video <U+0001F60D>
Makes me want to book a trip right now with #thrillophilia"
"41","One of the best places to visit. what are the different packages you guys provide including the transportation from India."
"42","It is scuba diving. 
I really want to experience it.
It looks so beautiful in there. <U+0001F60D><U+0001F60D>"
"43","how many places you cover in your Andaman tour packages??"
"44","amazing video but what is the cost of scuba diving?"
"45","Amazing video! We are group of 8 people planning to travel Andaman. Can you please provide me the package details?"
"46","what are the Adventure activities you provide with Adaman & Nicobar tour package"
"47","mai bhi jaana chahta hoon ANDAMAN. Kya aap mujhe bhejenge? Koi acchi si itinerary mereko forward kr do pls"
"48","Superb video !!! very keen to experience the beauty of andaman & nicobar island"
"49","Andaman and Nicobar :)"
"50","I can see the beauty of low tide and hide tide and looking forward to planning a trip with #thrillophilia :)"
"51","So curious to travel with thrillophilia.

Great video of scuba diving

#thrillophilia"
"52","Best video portrayal of any experience ever seen till date. 
Scuba diving 
#Thrilllophilia"
"53","Captures the character of Andaman islands quite beautifully.  Brilliant!"
"54","Scuba diving <U+0001F433>"
"55","I am in love with the place after watching this video."
"56","This video gave me chills, looking forward to planning a Honeymoon Tour to Andaman with you guys soon."
"57","Great video! Makes me want to go scuba diving in the Andamans with #thrillophilia!"
"58","What a mesmerising video! I saw this on Breathtaking postcards page and their Andaman trip was the reason we booked our trip their as well! 
The adventure sport shown in the video is - Scuba Diving!"
"59","Can you tell me What's the best time to visit Andaman and Nicobar and How much does it cost for a trip to Andaman?"
"60","I am thinking to visit Andaman after watching the video. Can you guys tell me what is the best time to visit Andaman & Nicobar????"
"61","Andaman has become my dream place after watched this video<U+0001F60D>.
Can you please guide me how to reach this heaven."
"62","Already so curious to visit Andaman after watching this video. <U+0001F60D>"
"63","Hi , I am planning a trip to Andaman Island, do you have any package which covers Port Blair & Havelock Islands both with some adventure activities?"
"64","I am looking forward to visiting Andaman this summer. Can you please tell me your package details????"
"65","Wow the video is so nice, I am also looking forward to visit Andaman with my wife, Can you please suggest me the best tour package for Andaman"
"66","We are group of 5 people planning to travel Andaman. Please tell how to book in best price..."
"67","Mesmerizing Views of Andaman <U+0001F63B>"
"68","Bullseye!!
The very place to be and the very place to book."
"69","Scuba Diving"
"70","Scuba Diving"
"71","scuba Diving
#thrillophilia"
"72","Andaman is undoubtedly the best place I have ever visited<U+0001F60D>"
"73","Plz share the background track name/link"
"74","Hey!! Just subbed to your channel! Did you consider using SMZeus to help grow your channel??"
"75","beautiful"
"76","beautiful"
"77","Background. Song name please <U+0001F601>"
"78","Hi is m the gist to comment I going her on Saturday super duper ur such a pooper exited"
"79","How much did you pay.."
"80","Just imagine the amount of energy this massive place in using just to keep it going."
"81","Such a lavish tour!!"
"82","Hey, Dubai I'm Coming!!"
"83","You know its Dubai, when a Helicopter becomes the best choice for a sightseeing tour."
"84","Awesome!!! I would love do that."
"85","Amazing Video :)"
"86","Would love to take this helicopter tour"
"87","Wonderful <U+0001F929>"
"88","Dubai at it's best <U+0001F60D>"
"89","After watching this video I am surely going to try this in Dubai!"
"90","I would also like to take a Helicopter tour of Dubai to experience something unique."
"91","What an amazing video!!"
"92","Wow! This is so cool :)"
"93","Woah!! Amazing and Thrilling Activity. I really want to experience this once.."
"94","Looks so much fun! <U+0001F929>"
"95","OMG! That looks scary... I really would like to try that."
"96","I love dubai"
"97","this show is really amazing, thanks for sharing!!"
"98","Wow <U+0001F929>"
"99","So beautiful views of Dubai Fountain. Totally loved it"
"100","Amazing video. I really want to visit this place. This is fantastic!!!!!!!"
"101","The video is so amazing and the fountain show looks so fascinating <U+0001F60D>"
"102","It's very Beautiful and Awesome <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>"
"103","So dreamy! <3"
"104","Breathtakingly beautiful <U+0001F60D>"
"105","What an amazing Video with an eye-catching view. I also want to experience Dubai Fountain Lake Ride."
"106","Wow, best fountain show I've ever seen. <U+0001F60D>"
"107","Don't forget to like  this video and subscribe to our channel after watching this Sky Diving In Dubai Video :) 
For more info about Dubai Skydiving, visit http://bit.ly/39LXBBG <U+0001F607>"
"108","WOW! what an experience. I would surely try it this year."
"109","Can't wait to experience this!"
"110","This is one of the activities that I want to experience in my life."
"111","I was doing this in PUBG for months, but now I am gonna try it really soon in real."
"112","Wow that's so thrilling and amazing view, <U+0001F60D><U+0001F60D>"
"113","A cutaway on a tandem, now there's a rare sight."
"114","That's pretty awesome!!"
"115","This is crazy. Definitely on my bucket list. Coming soon Dubai <U+0001F60D><U+0001F60D><U+0001F60D>"
"116","Woah!!! What an adventurous video..."
"117","Wow! This is Amazing :)"
"118","That looks crazzzzyyy <U+0001F60D>"
"119","Wow, what a place and amazing views<U+0001F49B>"
"120","WOW!! Amazing Video!"
"121","Amazing activity to do in Dubai. Skydiving in Dubai is now in my to do list of 2020"
"122","Don't forget to like this video and subscribe to our channel after watching this Dubai Desert Safari Video <U+0001F643>
For more info about Desert Safari in Dubai, visit http://bit.ly/2w5VhXz"
"123","What’s up?! Great job on the channel. Have you thought about using smzeus to get your video higher in the search??"
"124","WoW!! Can't wait to experience Desert Safari in Dubai."
"125","This looks very adventurous and I really want to try this in my life."
"126","Wow amazing desert safari,would like to try some day <U+0001F60D>"
"127","What an amazing video. This has surely added Desert Safari in my must do list for Dubai!!"
"128","This is surely added to my bucket list. Want to experience this once..."
"129","Desert Safari is an awesome activity to do, one should definitely go to experience this thrilling adventure."
"130","Wow!!! That's now in my to-do list of 2020..."
"131","This place seems to be soo cool<U+0001F62F>"
"132","Amazing Video, Desert Safari  surely will be in my bucket list"
"133","Dubai Safari is a must adventure to do , I loved it ! And  I definitely recommend it."
"134","Dune Bashing is really an unique experience!"
"135","In which month you visited ?"
"136","Don't forget to like this video and subscribe to our channel after watching this Chadar Trek Video :)
 For more info about Chadar Trek 2020, visit http://bit.ly/39ODKls<U+0001F609>"
"137","You guys are cheater"
"138","Can any1 tell me which background music/song is this ????"
"139","Is there any means of communication facility available during the trek?, Like satellite phone, mobile network along the route???"
"140","What an awesome location <U+0001F60D>
After watching this I am looking forward to visit this frozen river trek. Are slots available?"
"141","I really want to go on this trek."
"142","Amazing video. Would love to experience Chadar trek one day."
"143","I have already booked Chadar Trek 2020, can't wait more to experience this adventurous trek!!"
"144","WOW! I want to go do this trek, But I have lot of queries like Can Chadar trek be done solo? Is Chadar trek for beginners?"
"145","Have heard a lot about this trek in Ladakh. will surely conquer this soon. just want to know what are the fitness requirements for this?"
"146","Hi Can you let me know the camp in Day 2 and 3, are they going to have power supply to charge phones and cameras?
I've already booked for 2020 <U+0001F601>"
"147","Trust me this trek can be your lifetime experience, here you go for more details- https://bit.ly/375EcuC"
"148","Such picturesque destination. Would love to experience this!!!"
"149","WOW :)"
"150","Want to experience this adventurous trek once... ;)"
"151","Best Trek in India!! <U+0001F60D>"
"152","I also want to go to Chadar trek. This is so beautiful.
 How can I book this trek? I have never been to any trek in my life. Can Chadar Trek be my first trek?"
"153","<U+0001F60D>"
"154","I really want to experience this trek. <U+0001F929><U+0001F929>"
"155","WOW!!"
"156","So beautiful<U+0001F60D>"
"157","Amazing Video even I want to go"
"158","Looks amazing!"
"159","amazing stuff"
"160","What a fun place!!"
"161","Can't wait to go there :D"
"162","Nice :)"
"163","<U+0001F63B>"
"164","Amazing <U+0001F607>"
"165","Indeed a beauty <U+0001F60D>"
"166","<U+0001F60D>"
"167","Fabulous :)"
"168","Amazing video, great work!!"
"169","A super thrilling and fun-filled journey! Thanks to Thrillophilia for providing the necessary assistance!"
"170","Amazing place..!!
My next destination to visit.."
"171","amazing video"
"172","Damn!!!!"
"173","AMAZING PLACE  !!!!"
"174","Can't wait to visit this place! :)"
"175","woo....this is so amazing...cant wait to go and see this beauty.... can any1 please help em with the bookings ?"
"176","Wow!! Amazingg :D"
"177","Amazing Video :)"
"178","What an amazing place it was! Wonderful Experience :)"
"179","wow, packing my bags"
"180",":)"
"181","Truly a breathtaking place! Want to visit here soon!"
"182","In love with Singapore!!"
"183","Amazing video"
"184","Will visit this beautiful place soon"
"185","I really enjoy the light show in the evening of gardens by the bay, And I found the domes amazing."
"186","<U+0001F63B><U+0001F63B>"
"187","Amazing Video!!!!"
"188","Great video!"
"189","Nice video"
"190","Main Hampta Pass Trek Kaarna Chahta Hoon"
"191","Hampta pass is the most beautiful trek in Himalaya. No trek comes close"
"192","I Loved  <U+0001F499> lot
* Opening shoot  <U+0001F525>
* Nature , trees , trekking, base camp<U+0001F929><U+0001F499>
* On ice trek  u people taking care about 
  remain ppl <U+0001F4AF><U+0001F49F> (00:58 in video)
* Ice kicking,nd sliding, snow fall, 360° 
  view . All things fabulous 

** Long Day's  back on words I want to  travel around the India . When I see this type of videos it's inspired me lot . #thrillophilia one day I will<U+270C><U+FE0F> there with u people"
"193","Amazing video. My favourite part of the video was sliding on snow in the end. That is so much fun, I know because I have done this in rupin pass <U+0001F499><U+0001F499>."
"194","My fav moment in this video is when that guy is hitting snow 
That is really amazing
I have been there once so i can feel the way to play with snow
Never forgettable"
"195","Hi Can you let me know the camp in Day 2 and 3, are they going to have power supply to charge phones and cameras?"
"196","Iska link mil sakta hai kya"
"197","Sabse mst tarike se samjaya"
"198","Amazing bro"
"199","For Chadar Trek trekkers wear Gum Rubber Boots not trekking shoes"
"200","Good job bro..."
"201","Which trekking shoes works best for chaddar treck??"
"202","Thanks for Info - Can you let me know shoe model number or any reference number ?"
"203","Which trekking shoes works best for chaddar treck??"
"204","what about shoes? did you user trekking  shoes or gumboot?"
"205","Excellent. It is good and attractive beautiful weather journey.Awesome."
"206","Shame on you asshats"
"207","Awesome! Frozen River Trek.... next in my bucket list. I would really like you to visit my channel @Limetrails ( https://bit.ly/2ybF01m ) Stay Connected."
"208","Hello, anyone there from Thrillophilia team, today it was a recruitment process of Thrillophilia in my college and I was soo excited for it but I got rejected in GD round.
I don't know what happened to me that time my mind was blocked and I was not in a situation to speak. Yaa this is a team which I really wanted to join cause I always want to work like you all.
It really feels low when you got rejected from that work, for which you have a lot passion.
Is there is any position for me??
I am Shivankur Sharma."
"209","Hello, anyone there from Thrillophilia team, today it was a recruitment process of Thrillophilia in my college and I was soo excited for it but I got rejected in GD round.
I don't know what happened to me that time my mind was blocked and I was not in a situation to speak. Yaa this is a team which I really wanted to join cause I always want to work like you all.
It really feels low when you got rejected from that work, for which you have a lot passion.
Is there is any position for me??
I am Shivankur Sharma."
"210","Hello, anyone there from Thrillophilia team, today it was a recruitment process of Thrillophilia in my college and I was soo excited for it but I got rejected in GD round.
I don't know what happened to me that time my mind was blocked and I was not in a situation to speak. Yaa this is a team which I really wanted to join cause I always want to work like you all.
It really feels low when you got rejected from that work, for which you have a lot passion.
Is there is any position for me??
I am Shivankur Sharma."
"211","Which camera are you using? Anyway great vedio ,must have been an experience"
"212","Nice Video o watch.


togedr.com/adventure/bengaluru"
"213","9998263814"
"214","Can we go for a solo trip to EBC ?"
"215","Hi Can you let me know the camp in Day 2 and 3, are they going to have power supply to charge phones and cameras?"
"216","bhai ye trip konse mahine ka hai"
"217","EVEREST REGION

This traditional route to the Everest Base Camp follows the footprints of Hillary and tenzing Norgay, who first climbed the Mt. Everest. The trek has some different fascination, one of the foremost is the satisfaction gained by reaching the base of the highest mountain in the world.  http://www.nepalguideinfo.com/everest-region/"
"218","Enjoy Best of Camping and River Rafting Combo deals starting @1399.
Visit- www.experiencerishikesh.com/camping

Call or Whatsapp - 8077146567"
"219","To Book Rafting Packages Call Us @ 09718200365 or Visit: http://wildhawkadventures.com"
"220","Beautiful video but poor choice of music."
"221","What awful music"
"222","For More Information regarding Thrillohpilia Reviews, checkout - https://bit.ly/3dB5E6A"
"223","All these thrillophilia reviews do justice to the trips as i have gone to Andaman with them and had a fabulous journey."
"224","I am so glad that I trusted thrillophilia reviews and went on a trip to sikkim with them. They made my trip really wonderful."
"225","Thrillophillia, you guys are seriously the best.
I still remember my Zurich city tour with you guys. the arrangements, the activities and the transportation... everything you provied was the best... my whole trip was filled with so many great experiences..
Thankyou so muchhh <U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F>"
"226","I have been to Jaisalmer with them. They gave us a fantastic trip. We enjoyed a lot over there."
"227","I chose to book with Thrillophilia for my trip to Rishikesh and I was quite surprised by the service and the overall experience....
I'm really happy about choosing thrillophilia as my holidaymakers..."
"228","Amazingly planned trip to Ladakh, 
already taken up for the next from Thrillophilia."
"229","One thing I can say for sure is that Thrillophilia works great in terms of customer satisfaction and I have always had an amazing experience. The people are so helpful and everything is managed really well. Have traveled with them many times in the past and will definitely continue doing it. Great work you guys! Hats off to the team. <U+0001F60D>"
"230","I have booked my Udaipur tour with them and their services are really amazing. Will get back to them for more trips."
"231","I have booked many tours from thrillophilia and they have never disappointed me. <U+0001F44D><U+0001F3FB> for the top notch services provided by the team."
"232","One stop destination for all the adventure. Travelling with thrillophilia from years and never been disappointed . Keep the good work up guys. Looking forward for more."
"233","I visited manali last month and i booked the package from Thrillophilia. And it was an amazing experience,eveything was perfectly planned by the team. All thanks to Thrillophilla!!"
"234","Recently I visited Dubai  and I booked the Dubai trip from Thrillophilia , it was an amazing experience . I will surely book my next trips from here."
"235","Recently booked my trip from Thrillophilia and it was an amazing trip, they arranged everything really well"
"236","I have booked my trip to Bali with them. And the arrangements they made were amazing. We had a lot of fun there."
"237","I have visited Udaipur with this company in January... They are pretty good."
"238","I've heard negative comments about this?"
"239","how do i book...i m not getting any response from u....why is the service so pathetic ?"
"240","Wts the cost perday in these resort"
"241","ossum resort"
"242","ossum resort"
"243","how is d resort? ??:)"
"244","Chutiya Aurat"
"245","This is to let you know about Financial Fraud and Misrepresentation drive carried out by Thrillophilia

Today I booked a package with Thrillophilia 
December 26, 2019; Time : 13:11Hrs 
Amount Paid : INR 59,573.00
Immediatly after booking I received a call from  customer care number 08094252221 at 13.49Hrs. The Customer care representative informed me that the destination I have booked is not available. He told me a 10times beter destination is available and if I would like to switch.

After I checked the alternate provided I realised that the alternate was not worth and I requested to refund my money.

This is where true marketing strategy of the company revealed. They told me that they will not refund my money and the only option i have is to forcibly select different destination which has far less facilities and is extremely crowded location. They Lure you with a Lowest Price Guarantee and then threaten to forfeit your money if you dont change your destination. 

I got fedup and booked my travel package with other vendor. 
Post that I got in touch couple of friends who shared that they to had bad experiences due to this misrepresentation and coercion method of Thrillophilia.


They trap you and force you to go to destination of their choice so that they can earn their 20% commission from vendors. 

One more FACT cam to light: there is no option for consumers to post their feedback or Honest REVIEWS. For example FB reviews cannot be manipulated or Deleted , so they have disabled FB Reviews so that people dont come to know about the fraudulent practices  Thrillophilia"
"246","Bakwas company from my experience"
"247","which song is playing in background"
"248","Few clips seems wrong. Savanadurga is just rocky but trekking in Forest is shown! And not all places are around Bangalore and the list is random :/

Trekking in and around Bangalore,
1. Skandagiri hills night trekk
2. Shivagange betta
3. Savanadurga
4. Siddara betta
5. Madhugiri betta
6. Makali durga betta"
"249","Best Weekend gateways Treks from Bangalore 
http://www.adventurenest.com/blog/top-5-trekking-destination-around-chikmagalur/"
"250","I can see how booking a Ladakh package is the best way to experience the adventure in Ladakh.
Great video!"
"251","Amazing itinerary. Taken up for my next leh-ladakh trip. <U+0001F44D>"
"252","Kill the music, it spoils the video! Otherwise great video, many thanks!"
"253","<U+0001F44D><U+0001F60A>"
"254","O pagal music band kar"
"255","<U+092C><U+0939><U+0941><U+0924> <U+0939><U+0940> <U+0909><U+092A><U+092F><U+094B><U+0917><U+0940> <U+091C><U+093E><U+0928><U+0915><U+093E><U+0930><U+0940> <U+0926><U+0940> <U+0906><U+092A><U+0928><U+0947><U+0001F44D>.  <U+092F><U+0947> <U+092C><U+0924><U+093E><U+092F><U+0947> <U+0905><U+0917><U+0930> <U+091F><U+0942><U+0930> <U+0911><U+092A><U+0930><U+0947><U+091F><U+0930>  <U+0915><U+0947> <U+0938><U+093E><U+0925> <U+091C><U+093E><U+090F> <U+0924><U+094B> <U+0915><U+094D><U+092F><U+093E> <U+0920><U+0940><U+0915> <U+0930><U+0939><U+0947><U+0917><U+093E>? <U+0916><U+0930><U+094D><U+091A><U+093E> <U+092D><U+0940> <U+092C><U+0924><U+093E><U+090F> <U+0914><U+0930> <U+092F><U+0947> <U+092D><U+0940> <U+092C><U+0924><U+093E><U+090F> <U+0915><U+093F><U+0938><U+092E><U+0947> <U+0938><U+0939><U+0942><U+0932><U+093F><U+092F><U+0924> <U+091C><U+094D><U+092F><U+093E><U+0926><U+093E> <U+0930><U+0939><U+0947><U+0917><U+0940> ?
Thanks
Sushmita Kappor
http://bit.ly/2r0Hvir"
"256","how much time does it take frm srinagar to leh by cab without any halt?"
"257","Thanks for the info. Im planning a trip this year and ur info is too helpful."
"258","Nice.. thanks vital info"
"259","Thank you so much. this gonna be helpful for my next trip to srinagar-ladakh-tibet."
"260","Great video! Would love if you could check out my vlogs and let me know what you think https://youtu.be/nyMSxg5WMXM"
"261","How about a video from bangalore to ladakh?"
"262","Good , Godd , exciting..."
"263","Best Weekend gateways Treks from Bangalore 
http://www.adventurenest.com/blog/top-5-trekking-destination-around-chikmagalur/"
"264","Allowing or not pls tel"
"265","Now allows for trekking at thadiandmol"
"266","Nice Video"
"267","Abbey falls is very nice who ever goes to madikeri should try it"
"268","which is the music?!"
"269","Great video !!! Looks fantastic....  Planning on doing this hike soon..really nice song too...any chance you can share the track name? Cheers"
"270","If the Hr team at thrillophillia , really would have been concerned about their employees. Then they should atleast listen to vendors who add value to the overall experience of an employees journey in the organisation in a 360°approach. Sad that hasn't happened the same while interacting with the Hr team."
"271","how about rajas seat.."
"272","semma place how many days to spend"
"273","Thrilliophia is the worst travel agency ever.
I recommend not to ever book any tour packages from these people. Misleading website and no proper customer support.  Booked sikkim tour package with them and it was the most regretting decision ever made. There was no tour guide, the whole travel responsibility was given to some local drivers and everytime we had to call to thriollophia team to know about Hotel details. Most of our time was spent fixing their problems, as all the places mentioned in the iternary were either closed or permit was not given and they were not ready to include any alternative place as well. So as per their plan, we just have be in the hotel all the time and waste our money. All this time the team was silent and when we raised our concern, they are trying to prove us wrong. The expirence was really pathetic and never recommend thrillophilia."
"274","boathfarm aaa"
"275","which place ..."
"276","Where to find this in coorg?"
"277","Chikmaglur jeep trekking contact ,9008356214"
"278","Is caming allowed???? And we we finish trekking within 2 days??"
"279","It's safe or dangerous"
"280","How is that place bro"
"281","at what tym shud v start the trekking from below if we wish for a Ni8 trek and camping till sunrise? also is it safe for ladies at that tym?"
"282","I've never been to a more pathetically arranged trek than this. People, don't waste your time on this one."
"283","Please hire a editor"
"284","Neelakasam boomi..
Travel dairies
The Darjeeling limited
Queen
Into the wild
Somewhere else tommorow
Wild
Secret Life of water mitty
Zindagi na milega dubara
Tracks"
"285","The art of travel inspired mo to have a dream to travel the world."
"286","Is Some where else tomorrow,  documentary type ?"
"287","JUNGLE starring Daniel Radcliffe. Excellent film 10/10"
"288","#NPCB"
"289","where's life of pi?"
"290","Motorcycle diaries somewhere else tomorrow"
"291","I am advicing my Indian sister. 
Please don't watch queen. 
It's a shitty movie."
"292","where can i watch these movies, its all bollywood and not available in torrent"
"293","Please anyone give link into the wild movie"
"294","Well come every feature traveller.."
"295","Everybody please Consider *""Best Bar in America""* too worth watching, utterly considerable."
"296","Please add "" charlie "" and ""my storie"" from malayalam"
"297","I know the video editor is a keralite because the first movie is a malayam movie of traveling."
"298","1.NEELAKASHAM PANCHAKADAL CHUVANBHUMI
2.MOTORCYCLE DIARIES
3.THE DARJILING LIMITED
4.QUEEN
5. INTO THE WILD
6. SOMEWHERE ELSE TOMORROW
7. WILD
8. THE SECRET LIFE OF A WALTER MITTY
9. ZINDGI NA MILEGI DOBARA
10. TRACKS

MORAL:: Don't waste your time"
"299","Motorcycle Diaries is the Best, at least to me"
"300","Humans made earth worst."
"301","Hit like 4 into the wild"
"302","Into the wild give me goosebumps..."
"303","whats the name of the song playing while tracks is shown (last movie)"
"304","Or Watch my BOX TO BOUNDARY"
"305","DQ npcb intro<U+0001F60D>"
"306","S.k"
"307","R.k"
"308","Zindagi Na Milegi Dobara, India!"
"309","ZINDAGI NAH MILYGI DOBARA <3"
"310","The Way is such a beautiful movie. It makes me want to walk El Camino de Santiago so badly"
"311","Into the Wild and NPCB are the best"
"312","Into the wild teach us what life is"
"313","Neelakasham pachakadal chuvanna bhoomi (NPCB ) gives a very high wave among the youngsters for a long distance motor cycle travel all around the INDIA and also the move given a very much hype to the ROYAL ENFIELD ,now a days  90percent of youngsters prefer the royal Enfield's because of this movie also the move gives a very much  inspiration for every audience for travel also the value of the friendship <U+0001F60D><U+0001F60D>and athe last part was the youth icon who narrates the story DULQUER SALMAN and SUNNY WAYNE  there acting was just insane. (HIGHLY PREFER NPCB. AFTER WATCH ZINDAGI NA MILEGI DOBARA )<U+0001F44C>"
"314","NPCB and Into the wild bestt"
"315","Thanks alot for you top ten travel movie advices now my times are gonna be productive<U+0001F601><U+0001F601>"
"316","In india Neelakasham pachakadal chuvanabhoomi is Best"
"317","The Beach with leonardo dicaprio is great"
"318","Anybody know movie like Into The Wild or Secret Life of Walter Mitty?"
"319","Into the wild is my favorite 
Rip Chris thanks for showing us what life is really about"
"320","Npcb nummede movie dq<U+0001F618><U+0001F618>"
"321","Into the wild <U+0001F618>"
"322","Into The Wild the best ever"
"323","mantap"
"324","the beauty of this movie list is that this in includes movies in Malayalam, Hindi English and believe me these movies are the very best travel movies I have seen . kudos"
"325","A piece  of Good Advice:
People who want to travel but unable to travel coz of some reasons don't watch the Movie ""In to the Wild"" !!"
"326","Into the wild
Wild
Tracks"
"327","The secret life of walter mitty is such a great movie"
"328","i really like in to the wild 

amazing film
i recometing you plees watch in to the wild and nelakasham pacha kadal chuvana bumi"
"329","Also ''HIGHWAY'' by alia bhatt..."".I dont wanna go bck where i hv com from,i dont wanna reach where im going,ths road,is grt hop it nvr ends"""
"330","now I going to travel whole world every city every country but I am alone I am worried about that"
"331","i know you wanna travel whole world each every country like me it's possible for me and for you if you don't mind we can travel with"
"332","thanxxx a Lot dear for this vidio"
"333","neelakasham Chuvvanna bhoomi <U+0001F44C> and others too"
"334","The serie departure"
"335","#neelakasham pachakadal chuvanna bhoomi"
"336","Into the wild!!! 

Btw, what's the name of the last song? Never found it and love it!"
"337","thanks for add our malayalam dq movie in you list... every world riders plss watch our movie neelakasham pacha kadal cuvanna bhoomi(blue sky green sea red earth)"
"338","zindagi na milegi dubara"
"339","Before watching the video.. Into the Wild #1"
"340","I cant believe that walter mitty got a space among this movies.. else everything is good"
"341","thank you for this video."
"342","i advice you guys to watch ( into the wild ) it's a great movie"
"343","Awesome"
"344","Great video Guys!"
"345","Thrilliophia is the worst travel agency ever.
I recommend not to ever book any tour packages from these people. Misleading website and no proper customer support.  Booked sikkim tour package with them and it was the most regretting decision ever made. There was no tour guide, the whole travel responsibility was given to some local drivers and everytime we had to call to thriollophia team to know about Hotel details. Most of our time was spent fixing their problems, as all the places mentioned in the iternary were either closed or permit was not given and they were not ready to include any alternative place as well. So as per their plan, we just have be in the hotel all the time and waste our money. All this time the team was silent and when we raised our concern, they are trying to prove us wrong. The expirence was really pathetic and never recommend thrillophilia."
"346","Aweaone one! Can you please tell me by which software are you using to create this?"
